CMDLINE python app.py
MEM 258.308594 1683885082.5448
MEM 258.308594 1683885082.6558
MEM 258.308594 1683885082.7638
MEM 258.308594 1683885082.8759
MEM 258.308594 1683885082.9874
MEM 258.308594 1683885083.0964
MEM 258.308594 1683885083.2074
MEM 258.308594 1683885083.3174
MEM 258.308594 1683885083.4274
MEM 258.308594 1683885083.5384
MEM 258.308594 1683885083.6484
MEM 258.308594 1683885083.7574
MEM 258.308594 1683885083.8664
MEM 258.308594 1683885083.9764
MEM 258.308594 1683885084.0854
MEM 258.308594 1683885084.1956
MEM 258.308594 1683885084.3054
MEM 258.308594 1683885084.4148
MEM 258.308594 1683885084.5248
MEM 258.308594 1683885084.6348
MEM 258.308594 1683885084.7458
MEM 258.308594 1683885084.8558
MEM 258.308594 1683885084.9678
MEM 258.308594 1683885085.0769
MEM 258.308594 1683885085.1860
MEM 258.308594 1683885085.2960
MEM 258.308594 1683885085.4036
MEM 258.308594 1683885085.5136
MEM 258.308594 1683885085.6236
MEM 258.308594 1683885085.7326
MEM 258.308594 1683885085.8426
MEM 258.308594 1683885085.9516
MEM 258.308594 1683885086.0601
MEM 258.308594 1683885086.1681
MEM 258.308594 1683885086.2781
MEM 258.308594 1683885086.3904
MEM 258.308594 1683885086.4984
MEM 258.308594 1683885086.6050
MEM 258.308594 1683885086.7138
MEM 258.308594 1683885086.8226
MEM 258.308594 1683885086.9344
MEM 258.308594 1683885087.0445
MEM 258.308594 1683885087.1550
MEM 258.308594 1683885087.2670
MEM 258.308594 1683885087.3790
MEM 258.308594 1683885087.4910
MEM 258.308594 1683885087.5990
MEM 258.308594 1683885087.7110
MEM 258.308594 1683885087.8212
MEM 258.308594 1683885087.9300
MEM 258.308594 1683885088.0399
MEM 258.308594 1683885088.1500
MEM 258.308594 1683885088.2580
MEM 258.308594 1683885088.3701
MEM 258.308594 1683885088.4802
MEM 258.308594 1683885088.5912
MEM 258.308594 1683885088.7032
MEM 258.308594 1683885088.8132
MEM 258.308594 1683885088.9252
MEM 258.308594 1683885089.0352
MEM 258.308594 1683885089.1452
MEM 258.308594 1683885089.2572
MEM 258.308594 1683885089.3692
MEM 258.308594 1683885089.4812
MEM 258.308594 1683885089.5902
MEM 258.308594 1683885089.7022
MEM 258.308594 1683885089.8145
MEM 258.308594 1683885089.9242
MEM 258.308594 1683885090.0332
MEM 258.308594 1683885090.1442
MEM 258.308594 1683885090.2542
MEM 258.308594 1683885090.3662
MEM 258.308594 1683885090.4782
MEM 258.308594 1683885090.5872
MEM 258.308594 1683885090.6983
MEM 258.308594 1683885090.8083
MEM 258.308594 1683885090.9203
MEM 258.308594 1683885091.0323
MEM 258.308594 1683885091.1403
MEM 258.308594 1683885091.2504
MEM 258.308594 1683885091.3614
MEM 258.308594 1683885091.4714
MEM 258.308594 1683885091.5794
MEM 258.308594 1683885091.6894
MEM 258.308594 1683885091.7979
MEM 258.308594 1683885091.9084
MEM 258.308594 1683885092.0166
MEM 258.308594 1683885092.1266
MEM 258.308594 1683885092.2348
MEM 258.308594 1683885092.3444
MEM 258.308594 1683885092.4543
MEM 258.308594 1683885092.5650
MEM 258.308594 1683885092.6750
MEM 258.308594 1683885092.7860
MEM 258.308594 1683885092.8971
MEM 258.308594 1683885093.0072
MEM 258.308594 1683885093.1147
MEM 258.308594 1683885093.2237
MEM 258.308594 1683885093.3329
MEM 258.308594 1683885093.4447
MEM 258.308594 1683885093.5557
MEM 258.308594 1683885093.6657
MEM 258.308594 1683885093.7777
MEM 258.308594 1683885093.8893
MEM 258.308594 1683885094.0003
MEM 258.308594 1683885094.1113
MEM 258.308594 1683885094.2213
MEM 258.308594 1683885094.3304
MEM 258.308594 1683885094.4396
MEM 258.308594 1683885094.5498
MEM 258.308594 1683885094.6603
MEM 258.308594 1683885094.7724
MEM 258.308594 1683885094.8845
MEM 258.308594 1683885094.9964
MEM 258.308594 1683885095.1054
MEM 258.308594 1683885095.2174
MEM 258.308594 1683885095.3274
MEM 258.308594 1683885095.4364
MEM 258.308594 1683885095.5454
MEM 258.308594 1683885095.6544
MEM 258.308594 1683885095.7639
MEM 258.308594 1683885095.8714
MEM 258.308594 1683885095.9785
MEM 258.308594 1683885096.0874
MEM 258.308594 1683885096.1964
MEM 258.308594 1683885096.3077
MEM 258.308594 1683885096.4174
MEM 258.308594 1683885096.5267
MEM 258.308594 1683885096.6374
MEM 258.308594 1683885096.7464
MEM 258.308594 1683885096.8554
MEM 258.308594 1683885096.9644
MEM 258.308594 1683885097.0737
MEM 258.308594 1683885097.1824
MEM 258.308594 1683885097.2946
MEM 258.308594 1683885097.4046
MEM 258.308594 1683885097.5160
MEM 258.308594 1683885097.6270
MEM 258.308594 1683885097.7358
MEM 258.308594 1683885097.8466
MEM 258.308594 1683885097.9548
MEM 258.308594 1683885098.0648
MEM 258.308594 1683885098.1748
MEM 258.308594 1683885098.2868
MEM 258.308594 1683885098.3948
MEM 258.308594 1683885098.5024
MEM 258.308594 1683885098.6125
MEM 258.308594 1683885098.7230
MEM 258.308594 1683885098.8350
MEM 258.308594 1683885098.9470
MEM 258.308594 1683885099.0571
MEM 258.308594 1683885099.1660
MEM 258.308594 1683885099.2773
MEM 258.308594 1683885099.3880
MEM 258.308594 1683885099.5000
MEM 258.308594 1683885099.6123
MEM 258.308594 1683885099.7210
MEM 258.308594 1683885099.8310
MEM 258.308594 1683885099.9401
MEM 258.308594 1683885100.0521
MEM 258.308594 1683885100.1621
MEM 258.308594 1683885100.2811
